HAZUS_class_final,BRKEY,Strucname,Maxspan,Length,Mainspans,Total_Spans,NBI_Class,Seismic Design,Year of Most Recent Improvement,HAZUS_iseqType,
HWB3,06C0166,A.C.I.D. FLUME OC,25.4,380.7,1,1,111,N,1918,na,
HWB3,28 0252,BNSF RAILWAY TUNNEL  1,6.6,184.4,1,1,111,N,1938,na,
HWB3,16C0081,BEAR RIVER CAMP FARWEST WEIR,92.4,94.5,1,1,310,N,1967,na,
HWB3,55 0511,N5-N1 CONNECTOR UC,93.6,93.6,1,1,105,N,1973,na,
HWB3,36C0094,BEAN CREEK,6.7,92.1,1,1,111,N,1971,na,
HWB3,25C0061,SOUTH FORK AMERICAN RIVER,61.3,74.7,1,1,313,N,1939,na,
HWB3,52 0359,LAS SAUCES PUC,2.4,74.4,1,1,101,N,1973,na,
HWB3,19 0045,WEST AUBURN UP,73.2,73.2,1,1,309,N,1959,na,
HWB3,49 0025,OSO FLACO UNDERPASS,29.6,72.5,1,1,303,N,1957,na,
HWB3,53 0889,WASHINGTON BLVD UC,34.4,71.3,1,1,105,N,1961,na,
HWB3,04C0075,MATTOLE RIVER,69,70.7,1,1,313,N,1925,na,
HWB3,53 1380,ETIWANDA AVENUE PUC,2.4,69.2,1,1,101,N,1959,na,
HWB3,33 0530,SFOBB TOLL PLAZA METERING LIGHTS BRIDGE,67.1,67.1,1,1,307,N,1974,na,
HWB3,53C0585,NORMANDIE AVE UP,31.7,67.1,1,1,302,N,1923,na,
HWB3,39 0164L,DELTA-MENDOTA CANAL,63,66.8,1,1,302,N,1966,na,
HWB3,39 0164R,DELTA-MENDOTA CANAL,63,66.8,1,1,302,N,1966,na,
HWB3,53 1133,ROUTE 5/405 SEPARATION,63.1,65.4,1,1,105,N,1963,na,
HWB3,19C0002,NORTH FORK AMERICAN RIVER,62.2,64,1,1,313,N,1930,na,
HWB3,30C0016,MOKELUMNE RIVER,62.2,63.1,1,1,310,N,1912,na,
HWB3,52 0251,TODD ROAD OH,13.1,62.8,1,1,105,N,1965,na,
HWB3,53 2373,LONG BEACH BLVD UC,61.3,61.3,1,1,505,N,1974,na,
HWB3,20C0248,DRY CREEK,56.4,57.9,1,1,310,N,1915,na,
HWB3,53 1934,VALLEY BLVD UC,56.7,57.7,1,1,505,N,1972,na,
HWB3,53 2310,PENNSYLVANIA AVENUE UC,56.8,57.3,1,1,505,N,1972,na,
HWB3,24 0288L,FOLSOM BLVD UC,56.1,56.7,1,1,505,N,1971,na,
HWB3,24 0288R,FOLSOM BLVD UC,56.1,56.7,1,1,505,N,1971,na,
HWB3,53 1997,COVINA BLVD UC,54.6,55.2,1,1,505,N,1971,na,
HWB3,20C0141,GUALALA RIVER (CLARK XING),54.9,55.2,1,1,310,N,1920,na,
HWB3,56 0613L,44TH AVENUE UC,53.9,55.1,1,1,505,N,1972,na,
HWB3,53 0692,ECHO PARK PUC,2.4,55,1,1,107,N,1950,na,
HWB3,04 0157,GUINTOLI LANE OC,54.3,54.7,1,1,505,N,1969,na,
HWB3,52 0105,SANTA PAULA CREEK,53,54.6,1,1,505,N,1969,na,
HWB3,56 0613R,44TH AVENUE UC,53.9,54.6,1,1,505,N,1972,na,
HWB3,35 0206,LAKESHIRE DRIVE UC,54.4,54.4,1,1,505,N,1972,na,
HWB3,35 0231R,CANADA ROAD UC,53.5,54.3,1,1,505,N,1969,na,
HWB3,57 0671,HOME AVENUE UC,54.3,54.3,1,1,505,N,1974,na,
HWB3,55 0492,LAMBERT ROAD UC,53.3,53.9,1,1,505,N,1971,na,
HWB3,53 2199,W210-W2 CONNECTOR UC,53.1,53.9,1,1,505,N,1972,na,
HWB3,54 0763R,H STREET UC,52.4,53.6,1,1,505,N,1968,na,
HWB3,54 0763L,H STREET UC,52.4,53.6,1,1,505,N,1968,na,
HWB3,35 0231L,CANADA ROAD UC,52.7,53.4,1,1,505,N,1969,na,
HWB3,53 0691,KINGSLEY AVENUE PUC,1.8,53.2,1,1,119,N,1950,na,
HWB3,57 0671S,HOME AVENUE-N805 ONRAMP,53,53,1,1,505,N,1974,na,
HWB3,53 1905,E60-N57 CONNECTOR UC,51.8,52.7,1,1,105,N,1970,na,
HWB3,02 0170R,ROUTE 5/97 SEPARATION,51.8,52.4,1,1,505,N,1973,na,
HWB3,29 0231L,CHURCH STREET UC,51.2,52.1,1,1,505,N,1972,na,
HWB3,37 0296,HOSTETTER ROAD UC,50,51.8,1,1,505,N,1974,na,
HWB3,29 0231R,CHURCH STREET UC,50.6,51.5,1,1,505,N,1972,na,
HWB3,53 2252,SUSANA ROAD UC,51.2,51.2,1,1,505,N,1974,na,
HWB3,49C0201,ARROYO GRANDE CREEK,36.6,51.2,1,1,111,N,1926,na,
HWB3,06 0182,AIRPORT ROAD OC,50.1,50.7,1,1,505,N,1972,na,
HWB3,29 0188L,MONTE DIABLO AVENUE UC,50.3,50.6,1,1,505,N,1970,na,
HWB3,57 0743L,REGENTS ROAD UC,50,50.6,1,1,506,N,1970,na,
HWB3,57 0743R,REGENTS ROAD UC,50,50.6,1,1,506,N,1970,na,
HWB3,04C0189,MATTOLE RIVER,45.7,50.6,1,1,111,N,1935,na,
HWB3,53C1709,LOS ANGELES RIVER,45.7,50.6,1,1,105,N,1952,na,
HWB3,53 2191G,E2-W210 CONNECTOR UC,46.3,50.3,1,1,105,N,1972,na,
HWB3,57 0699R,CAMERON STATION UC,49.7,50,1,1,505,N,1974,na,
HWB3,37 0304L,MONTEREY ROAD UC,49.2,49.7,1,1,505,N,1973,na,
HWB3,37 0304R,MONTEREY ROAD UC,49.2,49.7,1,1,505,N,1973,na,
HWB3,20 0233L,LYTTON SPRINGS ROAD UC,49.1,49.7,1,1,505,N,1974,na,
HWB3,20 0233R,LYTTON SPRINGS ROAD UC,49.1,49.7,1,1,505,N,1974,na,
HWB3,28 0041L,VICTORY HIGHWAY SEPARATION,48.8,49.4,1,1,505,N,1971,na,
HWB3,28 0041R,VICTORY HIGHWAY SEPARATION,48.8,49.4,1,1,505,N,1971,na,
HWB3,57 0752G,E52-S805 CONNECTOR BR,49.1,49.4,1,1,506,N,1972,na,
HWB3,57 0753G,E52-N805 CONNECTOR BR,48.8,49.4,1,1,506,N,1972,na,
HWB3,54 0923,LOWER BONNIE CANYON,49.1,49.1,1,1,505,N,1969,na,
HWB3,57 0258,VIA DE SAN YSIDRO UC,48.5,49.1,1,1,505,N,1973,na,
HWB3,04 0231,GUINTOLI LANE OC,48.5,48.8,1,1,505,N,1969,na,
HWB3,37 0328L,LEAVESLY ROAD SEPARATION (101/152),48.5,48.8,1,1,505,N,1973,na,
HWB3,37 0328R,LEAVESLY ROAD SEPARATION (101/152),48.5,48.8,1,1,505,N,1973,na,
HWB3,49C0307,ESTRELLA RIVER,46.9,48.8,1,1,310,N,1910,na,
HWB3,53 1429,ETHEL AVENUE PUC,48.7,48.7,1,1,101,N,1959,na,
HWB3,53 1399,SHIRLEY AVENUE PUC,2.4,48.6,1,1,119,N,1959,na,
HWB3,53 0734,BERKSHIRE PLACE UC,48.5,48.5,1,1,505,N,1974,na,
HWB3,53 2384L,"AVENUE ""J"" UC",48,48.4,1,1,505,N,1972,na,
HWB3,53 2382L,"AVENUE ""J-8"" UC",47.9,48.4,1,1,505,N,1972,na,
HWB3,53 2382R,"AVENUE ""J-8"" UC",47.9,48.4,1,1,505,N,1972,na,
HWB3,04 0053,ROCK CHUTE SIDEHILL VIADUCT,48.3,48.3,1,1,302,N,1966,na,
HWB3,53 1924R,ROXFORD STREET UC,47.8,48.3,1,1,505,N,1969,na,
HWB3,35 0232L,ROUTE 280/84 SEPARATION,47.3,48.2,1,1,505,N,1969,na,
HWB3,35 0232R,ROUTE 280/84 SEPARATION,47.2,48.2,1,1,505,N,1969,na,
HWB3,28 0030L,WILBUR AVENUE UC,47.5,48.2,1,1,505,N,1971,na,
HWB3,28 0030R,WILBUR AVENUE UC,47.5,48.2,1,1,505,N,1971,na,
HWB3,02 0170L,ROUTE 5/97 SEPARATION,47.8,48.2,1,1,505,N,1973,na,
HWB3,02 0152R,ABRAMS LAKE ROAD OC,47.5,48.2,1,1,505,N,1973,na,
HWB3,53 2072,GLENDORA AVENUE UC,46.6,47.9,1,1,505,N,1970,na,
HWB3,53 1969,CIENEGA AVENUE UC,47.2,47.9,1,1,505,N,1971,na,
HWB3,53 2069,SAN DIMAS CANYON ROAD UC,47.2,47.8,1,1,505,N,1970,na,
HWB3,53C1394,WORLD WAY WEST OC,46.6,47.8,1,1,505,N,1973,na,
HWB3,53 1899,DIAMOND BAR UC,47.2,47.5,1,1,505,N,1970,na,
HWB3,57 0693L,CORTE MADERA ROAD UC,47.2,47.5,1,1,505,N,1974,na,
HWB3,53 2377L,SOUTH AMARGOSA CREEK,46.9,47.3,1,1,505,N,1972,na,
HWB3,53 2377R,SOUTH AMARGOSA CREEK,46.9,47.3,1,1,505,N,1972,na,
HWB3,50 0401R,COTTONWOOD ROAD UC,47.3,47.3,1,1,505,N,1974,na,
HWB3,53 1400,OAKDALE AVENUE PUC,2.4,47.2,1,1,119,N,1959,na,
HWB3,53 1970,W210-S57 CONNECTOR UC,45.4,47.2,1,1,505,N,1970,na,
HWB3,36 0094L,LARKIN VALLEY ROAD UC,47.2,47.2,1,1,505,N,1974,na,
HWB3,36 0094R,LARKIN VALLEY ROAD UC,46.9,47.2,1,1,505,N,1974,na,
HWB3,57 0757L,CRESTWOOD ROAD UC,46.9,47.2,1,1,505,N,1974,na,
HWB3,53C1909,HUNTINGTON DR UP,38.4,47.2,1,1,303,N,1941,na,
HWB3,53C1299,TUJUNGA WASH,43.9,47.2,1,1,105,N,1967,na,
HWB3,53C2048,HAINES CANYON CHANNEL,19.1,47,1,1,119,N,1937,na,
HWB3,53 1761,DOWNEY AVENUE UC,46.9,46.9,1,1,505,N,1970,na,
HWB3,53 2308,NEW YORK AVENUE UC,46.4,46.9,1,1,505,N,1972,na,
HWB3,53 2156K,HOWARD STREET UC,46.3,46.9,1,1,505,N,1973,na,
HWB3,53 2255F,W210-S710/E210 CONN OC,46.3,46.9,1,1,505,N,1974,na,
HWB3,53C1662,PACOIMA WASH (PAXTON ST),46.3,46.9,1,1,505,N,1974,na,
HWB3,53 2384R,"AVENUE ""J"" UC",46.4,46.8,1,1,505,N,1972,na,
HWB3,53 1707F,W91-N&S605 CONNECTOR OC,46.7,46.7,1,1,505,N,1968,na,
HWB3,53 2159,MOUNTAIN AVENUE UC,45.7,46.7,1,1,505,N,1973,na,
HWB3,28 0084K,SAN PABLO AVENUE UC,42.4,46.6,1,1,105,N,1964,na,
HWB3,57 0663L,W94-S805 CONNECTOR UC,46.3,46.6,1,1,505,N,1974,na,
HWB3,57 0699L,CAMERON STATION UC,46.3,46.6,1,1,505,N,1974,na,
HWB3,53 0689,LA VETA TERRACE PUC,1.8,46.3,1,1,107,N,1950,na,
HWB3,53 2070S,NEWHALL AVENUE UC,45.8,46.3,1,1,505,N,1971,na,
HWB3,53 1940,POMONA BLVD UC,45.7,46.3,1,1,505,N,1972,na,
HWB3,24 0253,SEAMAS AVENUE UC,45.7,46.3,1,1,505,N,1974,na,
HWB3,42 0282,O STREET UNDERCROSSING,46.3,46.3,1,1,505,N,1974,na,
HWB3,53 2379L,"AVENUE ""O-8"" UC",45.7,46.2,1,1,505,N,1972,na,
HWB3,52 0316K,S101-N23 CONNECTOR UC,45.7,46.1,1,1,505,N,1970,na,
HWB3,53 1941,SUNSET CROSSING ROAD UC,45.4,46,1,1,505,N,1970,na,
HWB3,29 0225R,ROUTE 5/4 SEPARATION (CHARTER WAY UC),45.4,46,1,1,505,N,1971,na,
HWB3,53 1992L,N57-W210/W210-S57 CONNECTOR SEPARATION,44.2,46,1,1,505,N,1971,na,
HWB3,02 0163R,SISKIYOU WAY UC,45.4,46,1,1,505,N,1973,na,
HWB3,38 0053L,LANDER AVENUE SEPARATION,46,46,1,1,505,N,1973,na,
HWB3,38 0053R,LANDER AVENUE SEPARATION,46,46,1,1,505,N,1973,na,
HWB3,53 1731,LIBERTY CANYON ROAD UC,45.4,46,1,1,505,N,1973,na,
HWB3,35 0221R,S280-E380 CONNECTOR UC,45.1,45.9,1,1,505,N,1973,na,
HWB3,53 0316,MAIN STREET OC,30.8,45.7,1,1,111,N,1926,na,
HWB3,50 0357,BOUNDARY FLAT ROAD OC,44.2,45.7,1,1,302,N,1968,na,
HWB3,29 0225L,ROUTE 5/4 SEPARATION (CHARTER WAY UC),45.1,45.7,1,1,505,N,1971,na,
HWB3,53 2314,CENTINELA AVENUE UC,45.1,45.7,1,1,105,N,1972,na,
HWB3,57 0710,J STREET UC,45.7,45.7,1,1,505,N,1973,na,
HWB3,54 0820L,L STREET UC,43,45.7,1,1,505,N,1973,na,
HWB3,37C0018,STEVENS CREEK (FREMONT),21.3,45.6,1,1,111,N,1954,na,
HWB3,05 0037,BROWNS CREEK,44.6,45.4,1,1,505,N,1973,na,
HWB3,42 0282S,O STREET UNDERCROSSING,45.4,45.4,1,1,505,N,1974,na,
HWB3,57 0693R,CORTE MADERA ROAD UC,45.4,45.4,1,1,505,N,1974,na,
HWB3,53 1673M,BURBANK WEST CHANNEL,42.7,45.1,1,1,119,N,1960,na,
HWB3,53 2017R,YARNELL STREET UC,44.8,45.1,1,1,505,N,1970,na,
HWB3,53 2017L,YARNELL STREET UC,44.8,45.1,1,1,505,N,1970,na,
HWB3,53 1944,ROUTE 110/47 SEPARATION,44.8,45.1,1,1,505,N,1970,na,
HWB3,29 0239F,W4-N&S5 CONNECTOR UC,44.2,45.1,1,1,505,N,1972,na,
HWB3,29 0239H,N&S5-E4 CONNECTOR UC,44.2,45.1,1,1,505,N,1972,na,
HWB3,29 0239R,MADISON STREET UC,44.2,45.1,1,1,505,N,1972,na,
HWB3,29 0239L,MADISON STREET UC,44.2,45.1,1,1,505,N,1972,na,
HWB3,06 0178L,OLD OREGON TRAIL UC,44.5,45.1,1,1,505,N,1974,na,
HWB3,06 0178R,OLD OREGON TRAIL UC,44.5,45.1,1,1,505,N,1974,na,
HWB3,53 1924L,ROXFORD STREET UC,44.4,44.9,1,1,505,N,1969,na,
HWB3,53 1895R,POLK STREET UC,44.3,44.9,1,1,505,N,1969,na,
HWB3,53 1895L,POLK STREET UC,44.3,44.9,1,1,505,N,1969,na,
HWB3,53 1898R,MACLAY STREET UC,44.2,44.8,1,1,505,N,1969,na,
HWB3,33 0429R,GRIMMER BOULEVARD UC,44.8,44.8,1,1,505,N,1971,na,
HWB3,02 0152L,ABRAMS LAKE ROAD OC,43.9,44.8,1,1,505,N,1973,na,
HWB3,37 0286,KING ROAD UC,43,44.8,1,1,505,N,1974,na,
HWB3,53C1089,AVENUE OF THE STARS POC,44.8,44.8,1,1,605,N,1969,na,
HWB3,53 2386L,"AVENUE ""I"" UC",44.2,44.6,1,1,505,N,1972,na,
HWB3,53 2386R,"AVENUE ""I"" UC",44.2,44.6,1,1,505,N,1972,na,
HWB3,53 1787,LEMON AVENUE UC,43.9,44.5,1,1,505,N,1970,na,
HWB3,53 1977L,AUTO CENTRE DRIVE UC,43.9,44.5,1,1,505,N,1971,na,
HWB3,52 0043,NORTH FORK MATILIJA CREEK,43.6,44.5,1,1,505,N,1972,na,
HWB3,02 0163L,SISKIYOU WAY UC,43.6,44.5,1,1,505,N,1973,na,
HWB3,38 0143L,MONTE VISTA AVENUE UC,44.4,44.5,1,1,505,N,1973,na,
HWB3,38 0143R,MONTE VISTA AVENUE UC,44.4,44.5,1,1,505,N,1973,na,
HWB3,06 0177L,HAWLEY ROAD UC,43.9,44.5,1,1,505,N,1974,na,
HWB3,06 0177R,HAWLEY ROAD UC,43.9,44.5,1,1,505,N,1974,na,
HWB3,53 2379R,"AVENUE ""O-8"" UC",43.9,44.4,1,1,505,N,1972,na,
HWB3,57 0689R,ROUTE 8/79 SEPARATION,43.6,44.2,1,1,505,N,1970,na,
HWB3,53 2260,WALNUT STREET/E210-W134 OC,43.3,44.2,1,1,505,N,1974,na,
HWB3,57 0663R,W94-S805 CONNECTOR UC,43.9,44.2,1,1,505,N,1974,na,
HWB3,53C1139,TUJUNGA WASH,40.2,44.2,1,1,105,N,1967,na,
HWB3,29 0212L,HAMMER LANE UC,43.3,44,1,1,505,N,1970,na,
HWB3,29 0212R,HAMMER LANE UC,43.3,44,1,1,505,N,1970,na,
HWB3,53C0505,THOMPSON CRK,10.1,44,1,1,101,N,1965,na,
HWB3,46 0221L,HENDERSON AVENUE UC,43.9,43.9,1,1,505,N,1970,na,
HWB3,46 0221R,HENDERSON AVENUE UC,43.9,43.9,1,1,505,N,1970,na,
HWB3,37 0306L,LUCHESSA AVENUE UC,43.4,43.9,1,1,505,N,1973,na,
HWB3,37 0306R,LUCHESSA AVENUE UC,43.4,43.9,1,1,505,N,1973,na,
HWB3,38 0145L,TAYLOR ROAD UC,43.8,43.9,1,1,505,N,1973,na,
HWB3,57 0757R,CRESTWOOD ROAD UC,43.6,43.9,1,1,505,N,1974,na,
HWB3,54C0192,LIVE OAK CREEK,42.7,43.9,1,1,309,N,1970,na,
HWB3,53 2178R,TECHNOLOGY DRIVE UC,43.2,43.7,1,1,505,N,1972,na,
HWB3,53 1706,STUDEBAKER ROAD UC,43.6,43.6,1,1,505,N,1968,na,
HWB3,53 1335,PIONEER BLVD UC,43.6,43.6,1,1,505,N,1968,na,
HWB3,53 2306,LOWELL AVENUE UC,43.2,43.6,1,1,505,N,1972,na,
HWB3,38 0145R,TAYLOR ROAD UC,43.5,43.6,1,1,505,N,1973,na,
HWB3,53 2154,CASITAS AVENUE UC,42.7,43.6,1,1,505,N,1973,na,
HWB3,20C0213,SONOMA CREEK,42.7,43.6,1,1,310,N,1930,na,
HWB3,35 0221L,S280-E380 CONNECTOR UC,42.7,43.5,1,1,505,N,1973,na,
HWB3,52 0306R,HILLCREST DRIVE UC,43.4,43.4,1,1,505,N,1970,na,
HWB3,53 1521K,S405-CENTURY BLVD OFF UC (W),39,43.3,1,1,101,N,1963,na,
HWB3,29 0253L,LATHROP ROAD UC,43,43.3,1,1,505,N,1971,na,
HWB3,29 0253R,LATHROP ROAD UC,43,43.3,1,1,505,N,1971,na,
HWB3,53 2282,DUNSMORE AVENUE UC,42.8,43.3,1,1,505,N,1972,na,
HWB3,38 0141L,WEST MAIN ST UC,43.3,43.3,1,1,505,N,1973,na,
HWB3,38 0141R,WEST MAIN ST UC,43.3,43.3,1,1,505,N,1973,na,
HWB3,54 0814L,J STREET UC,42.7,43.3,1,1,505,N,1973,na,
HWB3,53 1898L,MACLAY STREET UC,42.5,43.1,1,1,505,N,1969,na,
HWB3,35 0162,WEST HILLSDALE BLVD UC,42.7,43,1,1,505,N,1967,na,
HWB3,29 0230L,TAYLOR STREET OH,43,43,1,1,505,N,1972,na,
HWB3,29 0230R,TAYLOR STREET OH,43,43,1,1,505,N,1972,na,
HWB3,53 2322,BOSTON AVENUE UC,42.6,43,1,1,505,N,1972,na,
HWB3,24 0246R,RIVERSIDE BLVD UC,41.5,42.7,1,1,505,N,1967,na,
HWB3,24 0246L,RIVERSIDE BLVD UC,41.5,42.7,1,1,505,N,1967,na,
HWB3,37 0229G,SOUTHEAST CONNECTOR OC,42.2,42.7,1,1,505,N,1971,na,
HWB3,56 0595L,BROADWAY UC,41,42.7,1,1,505,N,1972,na,
HWB3,56 0595R,BROADWAY UC,41,42.7,1,1,505,N,1972,na,
HWB3,53 2061,SUNFLOWER AVENUE UC,42.1,42.6,1,1,505,N,1970,na,
HWB3,53 2157,WASHINGTON BLVD UC,41.8,42.6,1,1,505,N,1973,na,
HWB3,53 0728K,FRANKLIN AVE UC (OFF-RAMP),38.7,42.4,1,1,105,N,1953,na,
HWB3,29 0224R,EIGHTH STREET UC,41.8,42.4,1,1,505,N,1971,na,
HWB3,35 0236,SAINT FRANCIS BOULEVARD UC,41.9,42.4,1,1,505,N,1972,na,
HWB3,57 0694R,PINE VALLEY ROAD UC,42.1,42.4,1,1,505,N,1974,na,
HWB3,05C0174,EAST FORK TRINITY RIVER,41.1,42.4,1,1,310,N,1960,na,
HWB3,35 0276R,CANADA ROAD UC,41.3,42.1,1,1,505,N,1973,na,
HWB3,53 2098,CALIFORNIA AQUEDUCT,41.1,41.8,1,1,505,N,1970,na,
HWB3,57 0632L,MAIN STREET UC,41.8,41.8,1,1,505,N,1971,na,
HWB3,57 0632R,MAIN STREET UC,41.1,41.8,1,1,505,N,1971,na,
HWB3,06 0164R,LAKEHEAD UC,41.2,41.8,1,1,505,N,1972,na,
HWB3,54 0820R,L STREET UC,41.1,41.8,1,1,505,N,1973,na,
HWB3,54 0814R,J STREET UC,41.1,41.8,1,1,505,N,1973,na,
HWB3,53C1541,SAN GABRIEL RIV,41.5,41.8,1,1,505,N,1972,na,
HWB3,24 0250L,RICHARDS BLVD UC,40.8,41.5,1,1,505,N,1968,na,
HWB3,24 0250R,RICHARDS BLVD UC,40.8,41.5,1,1,505,N,1968,na,
HWB3,52 0306L,HILLCREST DRIVE UC,41.5,41.5,1,1,505,N,1970,na,
HWB3,52 0315G,RANCHO ROAD UC,40.9,41.5,1,1,505,N,1970,na,
HWB3,29 0224L,EIGHTH STREET UC,40.8,41.5,1,1,505,N,1971,na,
HWB3,53 2001F,S57-E10 CONNECTOR OC,40.5,41.5,1,1,505,N,1972,na,
HWB3,53 1311,RADFORD AVENUE UC,41.4,41.4,1,1,105,N,1960,na,
HWB3,35 0276L,CANADA ROAD UC,40.7,41.4,1,1,505,N,1973,na,
HWB3,53 2221S,WALTONIA DRIVE UC,40.7,41.3,1,1,505,N,1972,na,
HWB3,56 0598L,ROUTE 10/95 SEPARATION,40.5,41.2,1,1,505,N,1972,na,
HWB3,56 0598R,ROUTE 10/95 SEPARATION,40.5,41.2,1,1,505,N,1972,na,
HWB3,09 0009,NORTH FORK FEATHER RIVER,39.6,41.1,1,1,312,N,1934,na,
HWB3,53 1522S,CENTURY OFF-RAMP UC (E COLLECTOR),39,41.1,1,1,101,N,1963,na,
HWB3,50 0359R,ROUTE 58/184 SEPARATION,40.5,41.1,1,1,505,N,1970,na,
HWB3,53 2031R,PACIFIC AVENUE UC,40.1,41.1,1,1,605,N,1970,na,
HWB3,55 0493R,E91/91-55 FASTTRACK SEPARATION,39.3,41.1,1,1,105,N,1970,na,
HWB3,53 2178L,TECHNOLOGY DRIVE UC,40.6,41,1,1,505,N,1972,na,
HWB3,53 2047,CALIFORNIA AQUEDUCT,40.5,40.8,1,1,506,N,1968,na,
HWB3,53 1951R,GLENOAKS BLVD UC,40.3,40.8,1,1,505,N,1969,na,
HWB3,57 0689L,ROUTE 8/79 SEPARATION,40.2,40.8,1,1,505,N,1970,na,
HWB3,43 0033L,ANZAR ROAD UC,39.8,40.8,1,1,505,N,1972,na,
HWB3,10C0113,DAVIS CREEK,39.6,40.8,1,1,310,N,1925,na,
HWB3,20C0224,HAUPT CREEK,39.7,40.8,1,1,310,N,1937,na,
HWB3,53C1242,MAIN STREET POC,40.5,40.8,1,1,310,N,1970,na,
HWB3,53 1994,AMELIA AVENUE UC,40.2,40.7,1,1,505,N,1970,na,
HWB3,53 1334,NORWALK BLVD UC,40.6,40.6,1,1,505,N,1968,na,
HWB3,02 0027,TI CREEK,39.6,40.5,1,1,505,N,1967,na,
HWB3,35 0203,DE ANZA BOULEVARD UC,40.2,40.5,1,1,505,N,1967,na,
HWB3,57 0562R,CHANNEL ROAD UC,39.9,40.5,1,1,505,N,1970,na,
HWB3,57 0562L,CHANNEL ROAD UC,39.9,40.5,1,1,505,N,1970,na,
HWB3,53 2000G,E10-S71 CONNECTOR OC,39.6,40.5,1,1,505,N,1972,na,
HWB3,50 0359L,ROUTE 58/184 SEPARATION,40.4,40.4,1,1,505,N,1974,na,
HWB3,44 0184R,RANCHO UNDERCROSSING,39.6,40.3,1,1,505,N,1971,na,
HWB3,44 0184L,RANCHO UNDERCROSSING,39.5,40.2,1,1,505,N,1971,na,
HWB3,14 0069L,MARTIN STREET UC,39.6,40.2,1,1,505,N,1972,na,
HWB3,14 0069R,MARTIN STREET UC,39.6,40.2,1,1,505,N,1972,na,
HWB3,53 2158,HAMMOND STREET UC,39.3,40.2,1,1,505,N,1973,na,
HWB3,57 0668,FEDERAL BLVD UC,40.2,40.2,1,1,505,N,1974,na,
HWB3,52C0053,SANTA PAULA CREEK,39.6,40.2,1,1,310,N,1941,na,
HWB3,53C0884,PICO AVE,38.4,40.2,1,1,302,N,1961,na,
